web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610738359-6734","https://www.wblivesurf.com/reports/page/243/","04.03.2018","Swell Size: Shin/Knee High","3:49 PM / BY: surfreports","Water Surface: Choppy","null","null","null","null","null"
"1610738122-5720","https://www.wblivesurf.com/reports/page/307/","10.04.2016","Swell Size: Waist/Stomach/Occ.Chest.","4:07 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610739293-10183","https://www.wblivesurf.com/reports/page/28/","09.24.2020","Swell Size: Thigh/Waist","7:13 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610739252-9981","https://www.wblivesurf.com/reports/page/40/","08.09.2020","Swell Size: Flat","1:01 PM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610737856-4386","https://www.wblivesurf.com/reports/page/390/","11.26.2014","Swell Size: Waist/Chest High","7:00 AM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell","ratingCell half","null","null"
"1610738776-8176","https://www.wblivesurf.com/reports/page/153/","04.09.2019","Swell Size: Thigh/Waist","10:07 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737179-843","https://www.wblivesurf.com/reports/page/612/","01.25.2008","Swell Size: Knee High","7:16 AM / BY: sageisland","Water Surface: Light Texture/Bump","ratingCell half","null","null","null","null"
"1610737772-3916","https://www.wblivesurf.com/reports/page/420/","07.23.2013","Swell Size: Knee/Thigh/Occ. Hip","6:38 AM / BY: sageisland","Water Surface: Semi-Clean/SomeTexture","ratingCell","ratingCell half","null","null","null"
"1610739148-9599","https://www.wblivesurf.com/reports/page/64/","04.30.2020","Swell Size: Chest-Head High Range","12:01 PM / BY: surfreports","Water Surface: Choppy/Drifty","ratingCell","null","null","null","null"
"1610738820-8336","https://www.wblivesurf.com/reports/page/143/","05.19.2019","Swell Size: Ankle High","9:54 AM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610737903-4653","https://www.wblivesurf.com/reports/page/373/","06.17.2015","Swell Size: Knee/Occ, Thigh High?","4:13 PM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","null","null","null","null"
"1610737280-1104","https://www.wblivesurf.com/reports/page/595/","04.02.2008","Swell Size: Waist/Stomach/Bigger?","7:04 AM / BY: sageisland","Water Surface: Glassy","ratingCell","ratingCell half","null","null","null"
"1610737947-4827","https://www.wblivesurf.com/reports/page/363/","09.09.2015","Swell Size: Knee/Occ. Thigh","6:43 AM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610737408-1845","https://www.wblivesurf.com/reports/page/549/","09.23.2008","Swell Size: Waist/Chest/Occ. Bigger","9:47 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610738335-6637","https://www.wblivesurf.com/reports/page/249/","03.11.2018","Swell Size: Knee High","7:54 AM / BY: surfreports","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737977-4990","https://www.wblivesurf.com/reports/page/352/","11.23.2015","Swell Size: Knee/Waist High","12:16 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737283-1126","https://www.wblivesurf.com/reports/page/594/","04.06.2008","Swell Size: Stomach/Occ. Shoulder","10:18 AM / BY: sageisland","Water Surface: Semi-clean","ratingCell","ratingCell half","null","null","null"
"1610737472-2141","https://www.wblivesurf.com/reports/page/530/","03.01.2009","Swell Size: Waist/Occ. Stomach","3:54 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737767-3870","https://www.wblivesurf.com/reports/page/422/","07.12.2013","Swell Size: Thigh-Waist/Occ. Bigger Sets","3:39 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737334-1435","https://www.wblivesurf.com/reports/page/575/","06.07.2008","Swell Size: Knee/Thigh","9:15 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
