,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
87,1610737516-2407,https://www.wblivesurf.com/reports/page/514/,07.19.2009,Swell Size: Thigh/Occ. Waist,3:31 PM / BY: sageisland,Water Surface: Glassy/Mushy,1.0
88,1610738943-8814,https://www.wblivesurf.com/reports/page/113/,09.19.2019,Swell Size: Chest/Head High/Occ Bigger,10:07 AM / BY: surfreports,Water Surface: Choppy/Clean Faces,3.0
89,1610738523-7318,https://www.wblivesurf.com/reports/page/207/,08.24.2018,Swell Size: Thigh/Waist/Occ. Stomach,7:03 AM / BY: surfreports,Water Surface: Light Chop/Clean Faces,1.5
90,1610738841-8413,https://www.wblivesurf.com/reports/page/138/,06.09.2019,Swell Size: Knee/Occ. Thigh,6:28 AM / BY: surfreports,Water Surface: Clean,1.0
91,1610738131-5767,https://www.wblivesurf.com/reports/page/304/,10.20.2016,Swell Size: Thigh/Waist High,7:22 AM / BY: sageisland,Water Surface: Clean/Glassy,1.5
92,1610738770-8161,https://www.wblivesurf.com/reports/page/154/,04.05.2019,Swell Size: Knee High,7:22 AM / BY: surfreports,Water Surface: Bumpy,0.0
93,1610737903-4663,https://www.wblivesurf.com/reports/page/373/,06.09.2015,Swell Size: Thigh/Waist,9:57 AM / BY: sageisland,Water Surface: Semi-Clean,2.0
94,1610737815-4142,https://www.wblivesurf.com/reports/page/405/,12.21.2013,Swell Size: Thigh/Occ. Waist,12:55 PM / BY: sageisland,Water Surface: Clean/Light Bump,1.5
95,1610737345-1491,https://www.wblivesurf.com/reports/page/571/,06.20.2008,Swell Size: Knee High,12:41 PM / BY: sageisland,Water Surface: Glassy,0.5
96,1610738750-8080,https://www.wblivesurf.com/reports/page/159/,03.16.2019,Swell Size: Knee-Thigh High,10:03 AM / BY: surfreports,Water Surface: Bumpy,1.0
97,1610737900-4637,https://www.wblivesurf.com/reports/page/374/,06.05.2015,Swell Size: Knee/Thigh/Occ. Hip,4:26 PM / BY: sageisland,Water Surface: Light Onshore Bump,2.0
98,1610738298-6517,https://www.wblivesurf.com/reports/page/257/,02.05.2018,Swell Size: Hip/Stomach High,7:09 AM / BY: surfreports,Water Surface: Clean,3.0
99,1610738926-8761,https://www.wblivesurf.com/reports/page/117/,08.29.2019,Swell Size: Knee High,9:35 AM / BY: surfreports,Water Surface: Bumpy,0.0
100,1610737817-4169,https://www.wblivesurf.com/reports/page/404/,12.23.2013,Swell Size: Thigh/Waist/Occ. Chest,10:33 AM / BY: sageisland,Water Surface: Choppy,2.5
101,1610737413-1875,https://www.wblivesurf.com/reports/page/547/,10.01.2008,Swell Size: Knee High,4:14 PM / BY: sageisland,Water Surface: Choppy,0.5
102,1610738523-7323,https://www.wblivesurf.com/reports/page/207/,08.22.2018,Swell Size: Ankle/Shin High,4:24 PM / BY: surfreports,Water Surface: Choppy,0.5
103,1610737411-1861,https://www.wblivesurf.com/reports/page/548/,09.28.2008,Swell Size: Waist/Stomach/Occ. Bigger,10:00 AM / BY: sageisland,Water Surface: Semi-Clean/Glass,1.5
104,1610737511-2366,https://www.wblivesurf.com/reports/page/516/,07.01.2009,Swell Size: Knee/Thigh/Occ. Bigger,12:32 PM / BY: sageisland,Water Surface: Glassy,1.0
